name,id,Rate1,Rate2,Rate3
"Kenai Peninsula, AK",2122,28193,1351,4246
"Ketchikan Gateway, AK",2130,10188,1641,3514
"Kodiak Island, AK",2150,9459,509,2714
"Lake and Peninsula, AK",2164,1152,1345,2614
"Matanuska-Susitna, AK",2170,21178,729,1308
"Nome, AK",2180,4228,178,1331
"North Slope, AK",2185,8727,1918,5516
"Northwest Arctic, AK",2188,3234,887,567
"Petersburg, AK",2195,4515,444,1121
"Prince of Wales-Hyder, AK",2198,2855,1328,4796
"Sitka, AK",2220,6151,106,4212
"Skagway, AK",2230,0,932,3482
"Southeast Fairbanks, AK",2240,2625,545,1493
"Valdez-Cordova, AK",2261,6922,684,2306
"Wade Hampton, AK",2270,2745,79,2789
"Wrangell, AK",2275,0,1632,192
"Yakutat, AK",2282,555,1911,4180
"Yukon-Koyukuk, AK",2290,2667,115,2900
ARIZONA,4000,2819302,859,2833
"Apache, AZ",4001,24786,652,920
"Cochise, AZ",4003,50792,798,311
"Coconino, AZ",4005,70286,715,3841
"Gila, AZ",4007,20655,1159,2711
"Graham, AZ",4009,10562,487,875
"Greenlee, AZ",4011,5216,1149,2513
"La Paz, AZ",4012,7461,1813,4945
"Maricopa, AZ",4013,1891817,855,5400
"Mohave, AZ",4015,54637,1827,4295
"Navajo, AZ",4017,34033,834,4236
"Pima, AZ",4019,444366,1746,5549
"Pinal, AZ",4021,50262,1991,4125
"Santa Cruz, AZ",4023,15830,338,3913
"Yavapai, AZ",4025,70286,929,5174
"Yuma, AZ",4027,68313,1277,3263
ARKANSAS,5000,1503867,573,2291
"Arkansas, AR",5001,13237,1167,5191
"Ashley, AR",5003,12699,282,1126
"Baxter, AR",5005,20631,1766,5567
"Benton, AR",5007,93961,1418,5003
"Boone, AR",5009,20864,908,1956
"Bradley, AR",5011,5415,559,534
"Calhoun, AR",5013,3786,1961,3157
"Carroll, AR",5015,14520,202,1581
"Chicot, AR",5017,6238,1578,3667
"Clark, AR",5019,13629,1180,936
"Clay, AR",5021,8873,1355,3910
"Cleburne, AR",5023,11952,891,4915
"Cleveland, AR",5025,2065,895,5316
"Columbia, AR",5027,13529,764,3663
"Conway, AR",5029,10485,1068,2768
"Craighead, AR",5031,52318,355,4399
"Crawford, AR",5033,23796,1446,272
"Crittenden, AR",5035,22086,711,5763
"Cross, AR",5037,8753,1960,1563
"Dallas, AR",5039,4982,1903,1082
"Desha, AR",5041,7676,1059,2908
"Drew, AR",5043,9787,1230,5514
"Faulkner, AR",5045,45508,229,2522
"Franklin, AR",5047,7288,1622,5305
"Fulton, AR",5049,4906,1265,1284
"Garland, AR",5051,48051,321,4036
"Grant, AR",5053,6346,849,2297
"Greene, AR",5055,19595,598,4598
"Hempstead, AR",5057,12615,1008,304
"Hot Spring, AR",5059,11348,1255,39
"Howard, AR",5061,10932,527,4625
"Independence, AR",5063,21888,697,2866
"Izard, AR",5065,5616,78,5314
"Jackson, AR",5067,8979,318,4691
"Jefferson, AR",5069,43383,439,959
"Johnson, AR",5071,11446,53,5103
"Lafayette, AR",5073,2945,674,3047
"Lawrence, AR",5075,8442,1911,86
"Lee, AR",5077,4136,1562,4381
"Lincoln, AR",5079,4747,1099,3193
"Little River, AR",5081,6576,438,1397
"Logan, AR",5083,9393,612,1218
"Lonoke, AR",5085,17820,294,5677
"Madison, AR",5087,6101,1167,2454
"Marion, AR",5089,6734,1880,3676
"Miller, AR",5091,20268,704,2927
"Mississippi, AR",5093,27521,1225,1155
"Monroe, AR",5095,4455,706,1100
"Montgomery, AR",5097,3804,1170,3271
"Nevada, AR",5099,3562,266,3489
"Newton, AR",5101,2900,1289,4170
"Ouachita, AR",5103,10827,986,3685
"Perry, AR",5105,2810,475,3325
"Phillips, AR",5107,10542,607,5434
"Pike, AR",5109,4804,1859,3202
"Poinsett, AR",5111,10148,1951,778
"Polk, AR",5113,10863,447,3777
"Pope, AR",5115,32359,1100,1591
"Prairie, AR",5117,3483,853,3797
"Pulaski, AR",5119,300464,1835,5741
"Randolph, AR",5121,8739,222,5806
"St. Francis, AR",5123,12256,1647,1678
"Saline, AR",5125,24363,1210,3487
"Scott, AR",5127,5469,545,5816
"Searcy, AR",5129,3736,551,131
"Sebastian, AR",5131,90382,1089,242
"Sevier, AR",5133,7566,791,4154
"Sharp, AR",5135,6881,1408,2706
"Stone, AR",5137,5474,958,469
"Union, AR",5139,27563,1170,1338
"Van Buren, AR",5141,5981,608,733
"Washington, AR",5143,102822,1028,4476
"White, AR",5145,33771,1343,4091
"Woodruff, AR",5147,3952,539,3925
"Yell, AR",5149,10025,1265,3391
CALIFORNIA,6000,19626033,718,4122
"Alameda, CA",6001,899999,1115,2657
"Alpine, CA",6003,1291,453,3218
"Amador, CA",6005,16690,99,1567
"Butte, CA",6007,100902,1041,2019
"Calaveras, CA",6009,15440,478,3752
"Colusa, CA",6011,10644,143,1158
"Contra Costa, CA",6013,477646,1463,3957
"Del Norte, CA",6015,10655,882,2260
"El Dorado, CA",6017,76625,491,2669
"Fresno, CA",6019,411608,1482,2862
"Glenn, CA",6021,11836,294,5412
"Humboldt, CA",6023,69553,57,2597
"Imperial, CA",6025,61824,1257,4342
"Inyo, CA",6027,10110,1006,258
"Kern, CA",6029,315485,10,2925
"Kings, CA",6031,50611,1284,1953
"Lake, CA",6033,22104,1835,4989
"Lassen, CA",6035,13446,943,3736
"Los Angeles, CA",6037,5499228,1233,2876
"Madera, CA",6039,53663,1051,4325
"Marin, CA",6041,178591,1426,1175
"Mariposa, CA",6043,7793,1214,2475
"Mendocino, CA",6045,49789,1087,1417
"Merced, CA",6047,84576,1521,3910
"Modoc, CA",6049,4451,562,5874
"Mono, CA",6051,9283,1193,305
"Monterey, CA",6053,222474,190,3018
"Napa, CA",6055,83967,535,2209
"Nevada, CA",6057,50734,1438,1664
"Orange, CA",6059,1866278,1150,5583
"Placer, CA",6061,147756,358,5826
"Plumas, CA",6063,10695,1484,2720
"Riverside, CA",6065,662404,1434,1652
"Sacramento, CA",6067,728803,246,1941
"San Benito, CA",6069,21604,562,2453
"San Bernardino, CA",6071,722006,1486,1847
"San Diego, CA",6073,1733524,770,3919
"San Francisco, CA",6075,767987,1385,4701
"San Joaquin, CA",6077,259492,694,3337
"San Luis Obispo, CA",6079,141409,755,482
"San Mateo, CA",6081,503671,1198,3492
"Santa Barbara, CA",6083,249705,1811,3416
"Santa Clara, CA",6085,1282671,1482,5217
"Santa Cruz, CA",6087,149579,1649,5428
"Shasta, CA",6089,85218,1882,4313
"Sierra, CA",6091,1542,266,1435
"Siskiyou, CA",6093,22369,1982,1088
"Solano, CA",6095,160396,1899,2966
"Sonoma, CA",6097,273645,1545,1202
"Stanislaus, CA",6099,209914,272,1041
"Sutter, CA",6101,38810,1189,5783
"Tehama, CA",6103,23666,1429,1247
"Trinity, CA",6105,4970,1894,1853
"Tulare, CA",6107,175853,108,1471
"Tuolumne, CA",6109,24340,687,3688
"Ventura, CA",6111,402776,487,3392
"Yolo, CA",6113,107806,1851,3345
"Yuba, CA",6115,26126,347,2695
COLORADO,8000,2949831,1657,2894
"Adams, CO",8001,190044,1098,1590
"Alamosa, CO",8003,9853,970,1551
"Arapahoe, CO",8005,392607,1580,2268
"Archuleta, CO",8007,5977,1879,2629
"Baca, CO",8009,2879,1023,3858
"Bent, CO",8011,2502,153,4772
"Boulder, CO",8013,239740,1990,3180
"Broomfield, CO",8014,0,957,3603
"Chaffee, CO",8015,9564,1122,1275
"Cheyenne, CO",8017,1646,908,1203
"Clear Creek, CO",8019,5862,1045,137
"Conejos, CO",8021,3144,1912,1326
"Costilla, CO",8023,1356,1810,3086
"Crowley, CO",8025,1844,13,5322
"Custer, CO",8027,1886,1678,468
"Delta, CO",8029,13154,992,888
"Denver, CO",8031,568112,826,5740
"Dolores, CO",8033,979,498,4004
"Douglas, CO",8035,78241,1587,3189
"Eagle, CO",8037,39008,1996,4888
"Elbert, CO",8039,7464,1751,5289
"El Paso, CO",8041,337980,1805,2416
"Fremont, CO",8043,19425,1715,2226
"Garfield, CO",8045,29693,1038,5148
"Gilpin, CO",8047,6025,1048,3699
"Grand, CO",8049,9978,123,2108
"Gunnison, CO",8051,11466,790,5950
"Hinsdale, CO",8053,624,645,5598
"Huerfano, CO",8055,3655,1370,5377
"Jackson, CO",8057,1111,1979,4644
"Jefferson, CO",8059,285312,846,4315
"Kiowa, CO",8061,1228,1200,92
"Kit Carson, CO",8063,5107,1849,5760
"Lake, CO",8065,2977,34,3624
"La Plata, CO",8067,31399,623,3682
"Larimer, CO",8069,168758,577,4927
"Las Animas, CO",8071,7736,648,3429
"Lincoln, CO",8073,3357,78,3397
"Logan, CO",8075,12771,1038,1103
"Mesa, CO",8077,70724,1514,4963
"Mineral, CO",8079,700,1487,5841
"Moffat, CO",8081,7365,1321,270
"Montezuma, CO",8083,13812,1279,310
"Montrose, CO",8085,20344,160,543
"Morgan, CO",8087,15386,1067,5278
"Otero, CO",8089,10408,321,2294
"Ouray, CO",8091,2524,515,2654
"Park, CO",8093,5254,1161,41
"Phillips, CO",8095,2975,1586,1308
"Pitkin, CO",8097,21721,1588,898
"Prowers, CO",8099,8237,1395,785
"Pueblo, CO",8101,71513,1044,1670
"Rio Blanco, CO",8103,4149,4,2327
"Rio Grande, CO",8105,7027,277,2911
"Routt, CO",8107,18735,1600,4410
"Saguache, CO",8109,2666,288,2949
"San Juan, CO",8111,408,1860,2611
"San Miguel, CO",8113,7307,1607,5657
"Sedgwick, CO",8115,1756,1136,2898
"Summit, CO",8117,25963,1917,3123
"Teller, CO",8119,10445,1756,1926
"Washington, CO",8121,2995,1713,2619
"Weld, CO",8123,96814,291,273
"Yuma, CO",8125,6139,767,2683
CONNECTICUT,9000,2113957,549,5778
"Fairfield, CT",9001,575817,1592,3705
"Hartford, CT",9003,615155,58,2508
"Litchfield, CT",9005,94812,331,4936
"Middlesex, CT",9007,89672,778,4395
"New Haven, CT",9009,470199,480,2458
"New London, CT",9011,161943,1440,1395
"Tolland, CT",9013,56570,99,5639
"Windham, CT",9015,49789,1885,5398
DELAWARE,10000,507820,24,2338
"Kent, DE",10001,72525,1338,4803
"New Castle, DE",10003,352024,1062,892
"Sussex, DE",10005,83271,1163,97
DISTRICT OF COLUMBIA,11000,756979,1784,1562
District of Columbia,11001,756979,625,2823
FLORIDA,12000,8933114,1306,2261
"Alachua, FL",12001,144872,580,2500
"Baker, FL",12003,7334,42,4120
"Bay, FL",12005,83539,1208,414
"Bradford, FL",12007,9420,618,2699
"Brevard, FL",12009,243422,777,5463
"Broward, FL",12011,848098,1212,5903
"Calhoun, FL",12013,4380,1210,4279
"Charlotte, FL",12015,56678,162,5394
"Citrus, FL",12017,41690,1237,4896
"Clay, FL",12019,54647,1423,3168
"Collier, FL",12021,144498,1120,693
"Columbia, FL",12023,23141,503,337
"DeSoto, FL",12027,13973,1905,1891
"Dixie, FL",12029,4053,55,4679
"Duval, FL",12031,580242,600,719
"Escambia, FL",12033,176777,1303,427
"Flagler, FL",12035,14507,1800,4905
"Franklin, FL",12037,5092,459,3827
"Gadsden, FL",12039,17780,398,4249
"Gilchrist, FL",12041,4455,1260,4716
"Glades, FL",12043,2871,248,1441
"Gulf, FL",12045,4522,372,2723
"Hamilton, FL",12047,4820,865,118
"Hardee, FL",12049,11710,578,198
"Hendry, FL",12051,19472,1253,1333
"Hernando, FL",12053,44989,731,4255
"Highlands, FL",12055,34140,1263,3153
"Hillsborough, FL",12057,740493,128,1346
"Holmes, FL",12059,6319,1375,4462
"Indian River, FL",12061,56209,899,5936
"Jackson, FL",12063,17983,312,5274
"Jefferson, FL",12065,4499,577,119
"Lafayette, FL",12067,2259,1679,4339
"Lake, FL",12069,86747,91,5758
"Lee, FL",12071,220655,1390,4783
"Leon, FL",12073,173176,1676,5354
"Levy, FL",12075,11802,842,4145
"Liberty, FL",12077,2131,282,5444
"Madison, FL",12079,7937,305,2558
"Manatee, FL",12081,163141,1749,1808
"Marion, FL",12083,113275,754,5765
"Martin, FL",12085,73514,1312,4380
"Miami-Dade, FL",12086,1276003,1084,5357
"Monroe, FL",12087,53639,1516,4607
"Nassau, FL",12089,22822,1512,1555
"Okaloosa, FL",12091,112661,1514,2439
"Okeechobee, FL",12093,13055,709,4992
"Orange, FL",12095,742527,1257,2572
"Osceola, FL",12097,64488,54,3367
"Palm Beach, FL",12099,649633,9,3702
"Pasco, FL",12101,99425,1570,5638
"Pinellas, FL",12103,569513,289,4793
"Polk, FL",12105,235787,1811,1132
"Putnam, FL",12107,22477,1433,4434
"St. Johns, FL",12109,53006,1884,2111
"St. Lucie, FL",12111,71241,574,2023
"Santa Rosa, FL",12113,36558,898,1302
"Sarasota, FL",12115,192109,1855,2151
"Seminole, FL",12117,186654,203,1301
"Sumter, FL",12119,12616,1905,5220
"Suwannee, FL",12121,14353,1961,37
"Taylor, FL",12123,8129,417,3634
"Union, FL",12125,4397,869,3606
"Volusia, FL",12127,179125,322,1832
"Wakulla, FL",12129,6537,964,1977
"Walton, FL",12131,16771,1746,137
"Washington, FL",12133,8326,1084,5416
GEORGIA,13000,4892294,1704,3554
"Appling, GA",13001,8425,1245,8
"Atkinson, GA",13003,3030,882,214
"Bacon, GA",13005,5238,682,2729
"Baker, GA",13007,1093,1105,2101
"Baldwin, GA",13009,23350,491,3717
"Banks, GA",13011,6271,962,4286
"Barrow, GA",13013,18090,292,1132
"Bartow, GA",13015,42425,1837,239
"Ben Hill, GA",13017,10747,917,895
"Berrien, GA",13019,6937,728,587
"Bibb, GA",13021,109839,598,3058
"Bleckley, GA",13023,5900,208,5345
"Brantley, GA",13025,3329,85,782
"Brooks, GA",13027,5052,1009,1075
"Bryan, GA",13029,7002,434,725
"Bulloch, GA",13031,27653,428,2149
"Burke, GA",13033,9086,1070,1475
"Butts, GA",13035,7507,1325,3688
"Calhoun, GA",13037,2308,1913,5376
"Camden, GA",13039,22545,100,4373
"Candler, GA",13043,4250,1381,4906
"Carroll, GA",13045,41917,293,4968
"Catoosa, GA",13047,22534,1596,446
"Charlton, GA",13049,3125,1640,1527
"Chatham, GA",13051,156321,131,1246
"Chattahoochee, GA",13053,16280,1135,5010
"Chattooga, GA",13055,10604,424,2915
"Cherokee, GA",13057,50029,1449,4922
"Clarke, GA",13059,76113,528,5357
"Clay, GA",13061,1082,316,701
"Clayton, GA",13063,140767,1537,669
"Clinch, GA",13065,3239,1519,975
"Cobb, GA",13067,395911,1339,2493
"Coffee, GA",13069,23629,1369,588
"Colquitt, GA",13071,20055,1626,4863
"Columbia, GA",13073,32489,362,5881
"Cook, GA",13075,7142,1513,5754
"Coweta, GA",13077,38162,1053,1165
"Crawford, GA",13079,3120,1661,3183
"Crisp, GA",13081,11399,795,4951
"Dade, GA",13083,5331,1560,4869
"Dawson, GA",13085,6906,759,751
"Decatur, GA",13087,14965,1438,3804
"DeKalb, GA",13089,414230,576,2421
"Dodge, GA",13091,8126,1074,3728
"Dooly, GA",13093,5220,1659,408
"Dougherty, GA",13095,64853,898,3844
"Douglas, GA",13097,41503,1186,117
"Early, GA",13099,6093,1555,2316
"Echols, GA",13101,915,399,3743
"Effingham, GA",13103,10130,144,3566
"Elbert, GA",13105,9905,1321,4838
"Emanuel, GA",13107,10237,216,4659
"Evans, GA",13109,6211,1270,588
"Fannin, GA",13111,8563,1813,327
"Fayette, GA",13113,48220,1670,4810
"Floyd, GA",13115,50602,1015,1977
"Forsyth, GA",13117,43669,163,473
"Franklin, GA",13119,11783,589,3109
"Fulton, GA",13121,911423,1149,4103
"Gilmer, GA",13123,10809,1083,1833
"Glascock, GA",13125,842,1183,1966
"Glynn, GA",13127,45640,322,183
"Gordon, GA",13129,26479,288,5573
"Grady, GA",13131,9445,972,1803
"Greene, GA",13133,7183,1721,4761
"Gwinnett, GA",13135,352764,187,2716
"Habersham, GA",13137,18785,1506,2008
"Hall, GA",13139,81971,1784,5195
"Hancock, GA",13141,2335,867,5296
"Haralson, GA",13143,9174,55,1296
"Harris, GA",13145,9095,1555,1227
"Hart, GA",13147,10816,1429,2894
"Heard, GA",13149,3583,1906,5960
"Henry, GA",13151,44388,987,2291
"Houston, GA",13153,61451,933,1270
"Irwin, GA",13155,3926,902,971
"Jackson, GA",13157,20226,454,1468
"Jasper, GA",13159,3830,1124,4576
"Jeff Davis, GA",13161,6833,1778,1194
"Jefferson, GA",13163,7532,1753,3304
"Jenkins, GA",13165,4065,622,1060
"Johnson, GA",13167,3115,686,5338
"Jones, GA",13169,5083,808,1884
"Lamar, GA",13171,5431,1733,1859
"Lanier, GA",13173,2216,1871,883
"Laurens, GA",13175,25600,45,1606
"Lee, GA",13177,5801,8,2732
"Liberty, GA",13179,33443,887,3854
"Lincoln, GA",13181,2722,1642,2283
"Long, GA",13183,1318,1477,4048
"Lowndes, GA",13185,55752,534,492
"Lumpkin, GA",13187,9033,618,5008
"McDuffie, GA",13189,10773,659,1803
"McIntosh, GA",13191,3444,1581,1395
"Macon, GA",13193,5815,1170,383
"Madison, GA",13195,7277,1432,1458
"Marion, GA",13197,3471,39,4518
"Meriwether, GA",13199,12780,1696,3312
"Miller, GA",13201,2501,455,1598
"Mitchell, GA",13205,10712,1603,5595
"Monroe, GA",13207,6882,763,830
"Montgomery, GA",13209,2916,253,2106
"Morgan, GA",13211,8611,286,623
"Murray, GA",13213,16144,1010,4024
"Muscogee, GA",13215,120853,1303,2661
"Newton, GA",13217,22262,878,1932
"Oconee, GA",13219,9506,1966,1661
"Oglethorpe, GA",13221,3059,1679,4865
"Paulding, GA",13223,22579,1097,3906
"Peach, GA",13225,10788,627,3804
"Pickens, GA",13227,8508,852,2942
"Pierce, GA",13229,5904,1229,2546
"Pike, GA",13231,3621,1840,2480
"Polk, GA",13233,14141,164,4587
"Pulaski, GA",13235,4530,1846,459
"Putnam, GA",13237,8721,1060,2373
"Quitman, GA",13239,481,662,3758
"Rabun, GA",13241,8404,1069,1084
"Randolph, GA",13243,3228,1741,621
"Richmond, GA",13245,135974,1694,5691
"Rockdale, GA",13247,43004,532,5679
"Schley, GA",13249,1768,1009,1534
"Screven, GA",13251,5564,865,166
"Seminole, GA",13253,4064,1101,3482
"Spalding, GA",13255,28812,1867,1400
"Stephens, GA",13257,13602,9,5060
"Stewart, GA",13259,1714,1799,5078
"Sumter, GA",13261,18131,1509,3105
"Talbot, GA",13263,1359,612,1721
"Taliaferro, GA",13265,413,1311,3635
"Tattnall, GA",13267,9034,870,2958
"Taylor, GA",13269,2962,723,2475
"Telfair, GA",13271,5421,315,5521
"Terrell, GA",13273,3595,1678,5110
"Thomas, GA",13275,25943,1244,5166
"Tift, GA",13277,25558,85,5647
"Toombs, GA",13279,14278,1580,3397
"Towns, GA",13281,4375,366,1422
"Treutlen, GA",13283,1817,893,5177
"Troup, GA",13285,40006,1175,4894
"Turner, GA",13287,3558,368,2096
"Twiggs, GA",13289,2434,1824,127
"Union, GA",13291,7874,397,2698
"Upson, GA",13293,12188,713,1996
"Walker, GA",13295,20444,854,5416
"Walton, GA",13297,18531,985,262
"Ware, GA",13299,21234,1094,5158
"Warren, GA",13301,2370,1807,4495
"Washington, GA",13303,11090,1296,3748
"Wayne, GA",13305,12201,847,2112
"Webster, GA",13307,704,1173,2538
"Wheeler, GA",13309,1743,1551,5842
"White, GA",13311,9429,972,221
"Whitfield, GA",13313,71327,1364,2607
"Wilcox, GA",13315,2630,1055,3905
"Wilkes, GA",13317,5491,711,672
"Wilkinson, GA",13319,4242,1874,1413
"Worth, GA",13321,5933,556,3875
HAWAII,15000,763284,37,2171
"Hawaii, HI",15001,79905,692,1872
"Honolulu, HI",15003,562384,2,3774
"Kalawao, HI",15005,0,1368,53
"Kauai, HI",15007,36874,614,924
"Maui, HI",15009,84121,1207,808
IDAHO,16000,787929,1216,3330
"Ada, ID",16001,230281,260,4238
"Adams, ID",16003,2145,1858,2629
"Bannock, ID",16005,42732,1269,3369
"Bear Lake, ID",16007,2868,1477,4023
"Benewah, ID",16009,4974,1264,994
"Bingham, ID",16011,19748,486,3598
"Blaine, ID",16013,17835,861,5767
"Boise, ID",16015,2259,181,4327
"Bonner, ID",16017,20283,913,2039
"Bonneville, ID",16019,53817,135,3772
"Boundary, ID",16021,5196,7,4747
"Butte, ID",16023,6076,643,2843
"Camas, ID",16025,586,1978,1363
"Canyon, ID",16027,66140,1880,4480
"Caribou, ID",16029,4648,1899,1923
"Cassia, ID",16031,12897,906,3614
"Clark, ID",16033,782,1679,3889
"Clearwater, ID",16035,4746,1943,5108
"Custer, ID",16037,2631,1046,3382
"Elmore, ID",16039,14010,1945,131
"Franklin, ID",16041,4789,350,1580
"Fremont, ID",16043,4683,214,4926
"Gem, ID",16045,5925,1021,3922
"Gooding, ID",16047,7993,666,1838
"Idaho, ID",16049,8172,256,2834
"Jefferson, ID",16051,7932,1986,4298
"Jerome, ID",16053,10072,389,4688
"Kootenai, ID",16055,60784,1002,4191
"Latah, ID",16057,20337,1810,4563
"Lemhi, ID",16059,4405,1634,4884
"Lewis, ID",16061,2098,1933,2564
"Lincoln, ID",16063,2096,1226,5515
"Madison, ID",16065,15323,218,3235
"Minidoka, ID",16067,11042,1038,1943
"Nez Perce, ID",16069,26998,385,233
"Oneida, ID",16071,1855,35,2358
"Owyhee, ID",16073,3927,1527,3075
"Payette, ID",16075,8941,1728,3394
"Power, ID",16077,5477,1106,2182
"Shoshone, ID",16079,6303,1570,4366
"Teton, ID",16081,2702,1078,4273
"Twin Falls, ID",16083,41230,395,12
"Valley, ID",16085,5560,1389,4262
"Washington, ID",16087,4631,1379,4989
ILLINOIS,17000,7416309,1281,5624
"Adams, IL",17001,43534,54,1313
"Alexander, IL",17003,3318,1142,2372
"Bond, IL",17005,6929,1800,168
"Boone, IL",17007,18904,828,2437
"Brown, IL",17009,3493,1816,4158
"Bureau, IL",17011,18336,1790,2319
"Calhoun, IL",17013,2032,1943,124
"Carroll, IL",17015,8375,973,4071
"Cass, IL",17017,7907,148,4759
"Champaign, IL",17019,123561,1345,4917
"Christian, IL",17021,17755,1381,3035
"Clark, IL",17023,8596,1097,1865
"Clay, IL",17025,8833,1169,171
"Clinton, IL",17027,18176,1056,1807
"Coles, IL",17029,36517,37,3911
"Cook, IL",17031,3351990,753,5589
"Crawford, IL",17033,11126,1179,4801
"Cumberland, IL",17035,4743,420,4785
"DeKalb, IL",17037,47457,1488,5067
"De Witt, IL",17039,8713,905,1661
"Douglas, IL",17041,12093,507,2714
"DuPage, IL",17043,702575,1199,5900
"Edgar, IL",17045,9552,1015,3228
"Edwards, IL",17047,5123,119,5045
"Effingham, IL",17049,27269,663,5468
"Fayette, IL",17051,10536,1816,1536
"Ford, IL",17053,7871,367,4950
"Franklin, IL",17055,15831,1536,2662
"Fulton, IL",17057,14435,1410,2985
"Gallatin, IL",17059,2686,1527,1278
"Greene, IL",17061,5638,1912,541
"Grundy, IL",17063,20026,134,2352
"Hamilton, IL",17065,3215,400,2363
"Hancock, IL",17067,10383,511,2196
"Hardin, IL",17069,2042,1041,668
"Henderson, IL",17071,2799,1749,1379
"Henry, IL",17073,23786,674,1488
"Iroquois, IL",17075,15238,336,1377
"Jackson, IL",17077,38473,1823,1710
"Jasper, IL",17079,4833,216,4257
"Jefferson, IL",17081,24474,66,2707
"Jersey, IL",17083,8133,344,5979
"Jo Daviess, IL",17085,13413,364,3251
"Johnson, IL",17087,4420,273,4056
"Kane, IL",17089,241766,1142,501
"Kankakee, IL",17091,54562,1609,1771
"Kendall, IL",17093,21667,1625,5052
"Knox, IL",17095,32695,1855,3196
"Lake, IL",17097,418840,533,5332
"LaSalle, IL",17099,58924,437,2814
"Lawrence, IL",17101,7158,433,2409
"Lee, IL",17103,18108,966,5977
"Livingston, IL",17105,21765,24,331
"Logan, IL",17107,15173,857,5444
"McDonough, IL",17109,19355,1251,1261
"McHenry, IL",17111,111703,1567,5954
"McLean, IL",17113,108806,117,4880
"Macon, IL",17115,72294,1668,3352
"Macoupin, IL",17117,18904,936,1835
"Madison, IL",17119,124832,245,2126
"Marion, IL",17121,23349,369,2593
"Marshall, IL",17123,5670,1828,4640
"Mason, IL",17125,6520,1233,4245
"Massac, IL",17127,6983,1638,452
"Menard, IL",17129,4199,600,1340
"Mercer, IL",17131,6224,75,3132
"Monroe, IL",17133,11229,1950,4801
"Montgomery, IL",17135,15841,191,4463
"Morgan, IL",17137,21457,1491,5143
